nombre,tipo,eslora,manga,calado,año,origen,bandera,imo,puertoDestino,urlPuertoDestino,puertoOrigen,urlPuertoOrigen,ETA,ETAPredecido,distancia,tiempo,rumbo,velocidad,caladoActual,estadoNavegacion,ultimaPosicionRecibida,MMSI,signal,GT,DWT,TEU,crudo,grano,fardo,puerto01_nombre,puerto01_llegada,puerto01_salida,puerto01_tiempo,puerto02_nombre,puerto02_llegada,puerto02_salida,puerto02_tiempo,puerto03_nombre,puerto03_llegada,puerto03_salida,puerto03_tiempo,puerto04_nombre,puerto04_llegada,puerto04_salida,puerto04_tiempo,puerto05_nombre,puerto05_llegada,puerto05_salida,puerto05_tiempo
PRELUDE,Offshore Support Vessel,489,74,-,2017,,Australia,9648714,,,,,,-,,,2.9°,0.0 kn,19.1 m,-,"Mar 15, 2023 10:09 UTC",503000101,VNKL,499167,394330,-,-,-,-,,,,,,,,,,,,,,,,,,,,
PIONEERING SPIRIT,Crane Ship,477,124,,2014,,Malta,9593505,,,,,,-,,,251°,0.3 kn,12.0 m,-,"Apr 22, 2023 06:59 UTC",249110000,9HA4112,403342,499125,-,-,-,-,,,,,,,,,,,,,,,,,,,,
CORAL-SUL FLNG,Offshore Support Vessel,277,46,,2021,,Bahamas,9831684,,,,,,-,,,147.8°,6.5 kn,16.3 m,-,"Feb 24, 2023 16:06 UTC",311001024,C6EW9,346165,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
EVER ACME,Container Ship,400,62,-,2022,-,Singapore,9943267,,,,,,-,,,241.6°,18.3 kn,15.3 m,Under way,"Apr 22, 2023 23:20 UTC",563176600,9V7305,236673,241816,-,-,-,-,"Taipei, Taiwan","Apr 21, 20:06","Apr 22, 17:25",21h 19m,"Ningbo, China","Apr 19, 15:20","Apr 20, 20:10",1d 4h,"Ningbo Anch., China","Apr 17, 13:31","Apr 19, 13:24",1d 23h,"Hongqiao, China","Apr 16, 02:27","Apr 17, 07:07",1d 4h,"Qingdao, China","Apr 12, 14:16","Apr 14, 12:06",1d 21h
FSO AFRICA,FSO,378,68,,2002,,Marshall Islands,9224764,,,,,,-,,,309°,0.0 kn,24.5 m,Restricted,"Apr 22, 2023 23:20 UTC",538002388,V7IJ5,236638,432023,-,,-,-,"Al Shaheen Gas Field North Term., Qatar","Feb 26, 05:18",-,-,,,,,,,,,,,,,,,,
FSO ASIA,FSO,380,68,,2002,,Marshall Islands,9224752,,,,,,-,,,127°,0.0 kn,21.0 m,Moored,"Apr 22, 2023 23:20 UTC",538003426,V7QR6,236638,432023,-,,-,-,,,,,,,,,,,,,,,,,,,,
CMA CGM TROCADERO,Container Ship,400,61,,2021,,France,9839167,,,,,,,,,161.5°,14.3 kn,15.4 m,Under way,"Apr 22, 2023 17:50 UTC",228402900,FMOL,236583,220666,,-,-,-,"Port Said Anch., Egypt","Apr 21, 17:43","Apr 22, 01:54",8h 10m,"Algeciras, Spain","Apr 15, 11:37","Apr 17, 12:15",2d,"Rotterdam Maasvlakte, Netherlands","Apr 8, 11:45","Apr 10, 21:52",2d 10h,"Rotterdam Anch. 5, Netherlands","Apr 7, 09:38","Apr 8, 08:47",23h 8m,"Wilhelmshaven, Germany","Apr 6, 02:22","Apr 6, 17:23",15h 1m
CMA CGM CONCORDE,Container Ship,400,61,,2021,,France,9839208,,,,,,,,,100.2°,10.1 kn,14.1 m,Under way,"Apr 22, 2023 23:15 UTC",228401800,FMOF,236583,221322,,-,-,-,"Hongqiao, China","Apr 21, 10:06","Apr 22, 22:07",1d 12h,"Ningbo, China","Apr 16, 09:17","Apr 18, 10:50",2d 1h,"Busan New Port, Korea","Apr 13, 06:21","Apr 15, 00:40",1d 18h,"Port Klang, Malaysia","Apr 2, 09:26","Apr 5, 04:41",2d 19h,"Port Said Anch., Egypt","Mar 16, 15:53","Mar 17, 07:11",15h 17m
CMA CGM MONTMARTRE,Container Ship,400,61,,2021,,France,9839155,,,,,,-,,,49.4°,15.8 kn,11.6 m,-,"Apr 13, 2023 22:03 UTC",228397700,FMNH,236583,221103,,-,-,-,"Port Klang, Malaysia","Apr 8, 23:04","Apr 13, 04:07",4d 5h,"Port Said Anch., Egypt","Mar 26, 16:00","Mar 27, 02:10",10h 10m,"Malta Freeport, Malta","Mar 22, 20:29","Mar 24, 01:15",1d 4h,"Algeciras, Spain","Mar 17, 18:50","Mar 18, 18:36",23h 45m,"Rotterdam Maasvlakte, Netherlands","Mar 11, 06:58","Mar 13, 23:03",2d 16h
CMA CGM RIVOLI,Container Ship,400,61,,2021,,France,9839193,,,,,,,,,261.7°,13.8 kn,16.2 m,Under way,"Apr 22, 2023 23:21 UTC",228397600,FMNG,236583,221251,,-,-,-,"As Suways (Suez) Anch., Egypt","Apr 16, 15:30","Apr 17, 03:32",12h 1m,"Singapore, Singapore","Apr 4, 01:23","Apr 5, 08:58",1d 7h,"Yantian, China","Mar 28, 17:34","Mar 30, 06:43",1d 13h,"Hongqiao, China","Mar 23, 22:20","Mar 25, 19:40",1d 21h,"Ningbo, China","Mar 19, 23:03","Mar 22, 22:32",2d 23h
